1	5	5
20
8	18	45	12
30
8	1	241	2	(91,12),(140,19)
12	2	279	10	(16,18),(254,10),(422,20),(426,10),(444,20),(559,17),(568,9),(689,12),(900,14),(1107,10)
19	3	259	0	
26	4	270	8	(224,9),(448,8),(705,7),(913,10),(1180,16),(1397,18),(1559,18),(1737,7)
33	5	249	10	(47,17),(253,15),(348,12),(476,8),(709,7),(907,8),(990,11),(1210,17),(1306,12),(1551,14)
40	6	74	9	(13,12),(74,15),(101,13),(134,10),(179,12),(219,14),(232,15),(295,13),(334,19)
46	7	110	9	(1,10),(17,20),(65,15),(175,15),(178,17),(219,20),(302,10),(393,11),(416,18)
48	8	128	4	(78,6),(85,14),(187,10),(308,19)
51	9	13	0	
57	10	81	0	
59	11	125	1	(37,19)
66	12	142	5	(5,10),(136,17),(231,11),(282,13),(387,11)
73	13	12	1	(2,7)
74	14	17	0	
76	15	103	9	(71,11),(116,15),(193,8),(202,9),(284,16),(369,9),(431,8),(443,9),(485,9)
77	16	42	5	(21,7),(49,15),(78,20),(100,16),(114,7)
77	17	269	8	(45,10),(59,10),(149,5),(273,13),(288,6),(303,6),(477,17),(652,11)
84	18	265	5	(17,18),(131,20),(198,15),(416,11),(581,8)
91	19	108	10	(60,8),(143,8),(148,5),(226,8),(287,10),(381,19),(468,13),(483,7),(503,9),(561,15)
93	20	259	6	(128,16),(148,11),(404,6),(547,14),(583,14),(626,17)
99	21	277	2	(225,7),(242,19)
104	22	126	1	(10,11)
111	23	263	10	(246,19),(305,5),(533,11),(637,16),(792,12),(868,11),(920,14),(1104,10),(1282,15),(1480,5)
117	24	27	2	(9,6),(10,14)
123	25	107	6	(71,7),(163,15),(192,6),(292,9),(331,16),(349,20)
124	26	226	1	(76,12)
125	27	194	9	(62,18),(66,8),(95,14),(104,20),(149,6),(297,8),(483,12),(604,12),(647,10)
132	28	74	7	(74,10),(83,7),(145,10),(189,13),(242,18),(243,7),(284,14)
138	29	198	10	(93,10),(228,16),(338,18),(399,12),(441,12),(460,17),(478,5),(564,5),(584,16),(700,11)
141	30	64	2	(19,20),(32,20)
